==============================================================================
==============================================================================
Thu. Mar. 19 2015                  LANDSAT 5                       Time: 21:10
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601503185219_00001                          Path / Row - 122 / 44
Reference Image: L51BKT1088329020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 99.0%
Rank   2 --  1.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1220440769   23.79389    112.97024    -0.04     -0.05     0.06     1 
1220440771   23.79312    113.02969    -0.13     -0.04     0.14     1 
1220440772   23.79272    113.05941    -0.10     -0.08     0.13     1 
1220440773   23.79232    113.08914    -0.07     -0.26     0.27     1 
1220440774   23.79192    113.11886    -0.10     -0.09     0.14     1 
1220440775   23.79151    113.14858    -0.20     -0.12     0.23     1 
1220440777   23.79067    113.20802    -0.13      0.12     0.18     1 
1220440780   23.78936    113.29718    -0.06      0.04     0.08     1 
1220440782   23.78847    113.35662     0.14      0.07     0.15     1 
1220440785   23.78708    113.44576     0.12     -0.05     0.13     1 
1220440790   23.78465    113.59432    -0.06      0.01     0.06     1 
1220440794   23.78261    113.71316     0.07     -0.26     0.27     1 
1220440795   23.78208    113.74286    -0.05     -0.21     0.21     1 
1220440797   23.78102    113.80227     0.25     -0.10     0.27     1 
1220440798   23.78047    113.83198    -0.00     -0.11     0.11     1 
1220440799   23.77993    113.86168    -0.22     -0.12     0.26     1 
1220440800   23.77937    113.89138     0.10     -0.17     0.19     1 
1220440802   23.77825    113.95079    -0.25     -0.06     0.26     1 
1220440803   23.77768    113.98049    -0.11     -0.06     0.12     1 
1220440804   23.77710    114.01018    -0.07     -0.12     0.14     1 
1220440805   23.77652    114.03988    -0.37     -0.04     0.37     1 
1220440806   23.77593    114.06958    -0.16     -0.05     0.17     1 
1220440807   23.77534    114.09927    -0.28     -0.23     0.36     1 
1220440808   23.77474    114.12897    -0.28     -0.17     0.33     1 
1220440809   23.77413    114.15866    -0.04     -0.10     0.11     1 
1220440810   23.77352    114.18836    -0.27     -0.01     0.27     1 
1220440811   23.77290    114.21805     0.14     -0.05     0.15     1 
1220440813   23.77165    114.27743    -0.13     -0.04     0.14     1 
1220440814   23.77102    114.30712     0.06     -0.06     0.08     1 
1220440815   23.77038    114.33680    -0.24     -0.07     0.25     1 
1220440816   23.76974    114.36649    -0.27     -0.07     0.28     1 
1220440845   23.76886    112.99959    -0.20      0.07     0.21     1 
1220440846   23.76847    113.02931    -0.15      0.01     0.15     1 
1220440847   23.76808    113.05903    -0.06     -0.13     0.14     1 
1220440848   23.76768    113.08874    -0.20     -0.11     0.23     1 
1220440849   23.76727    113.11846    -0.11      0.02     0.11     1 
1220440850   23.76686    113.14818     0.03     -0.02     0.03     1 
1220440851   23.76645    113.17789     0.01     -0.09     0.09     1 
1220440852   23.76603    113.20761    -0.30      0.32     0.44     1 
1220440855   23.76472    113.29675     0.06     -0.07     0.10     1 
1220440856   23.76428    113.32646     0.10     -0.24     0.27     1 
1220440857   23.76383    113.35617     0.02      0.00     0.02     1 
1220440859   23.76291    113.41559     0.49     -0.07     0.50     1 
1220440860   23.76244    113.44530     0.15     -0.02     0.15     1 
1220440861   23.76197    113.47501     0.03      0.06     0.07     1 
1220440862   23.76149    113.50472     0.51     -0.07     0.52     2 
1220440864   23.76052    113.56413     0.17      0.01     0.17     1 
1220440868   23.75850    113.68295    -0.04      0.09     0.10     1 
1220440869   23.75798    113.71265    -0.03     -0.14     0.15     1 
1220440870   23.75745    113.74235     0.15     -0.11     0.18     1 
1220440871   23.75692    113.77205     0.23      0.33     0.40     1 
1220440872   23.75639    113.80175     0.25     -0.18     0.31     1 
1220440873   23.75585    113.83145    -0.04     -0.15     0.16     1 
1220440874   23.75530    113.86114    -0.12     -0.09     0.15     1 
1220440875   23.75474    113.89084    -0.21      0.03     0.21     1 
1220440877   23.75362    113.95023    -0.20     -0.15     0.25     1 
1220440878   23.75305    113.97992    -0.21     -0.07     0.22     1 
1220440879   23.75248    114.00962    -0.05     -0.18     0.19     1 
1220440880   23.75189    114.03931    -0.44     -0.14     0.46     1 
1220440881   23.75131    114.06900    -0.11     -0.18     0.21     1 
1220440882   23.75071    114.09869    -0.24     -0.01     0.24     1 
1220440883   23.75011    114.12838    -0.17     -0.13     0.21     1 
1220440884   23.74951    114.15807    -0.30     -0.04     0.30     1 
1220440885   23.74890    114.18775    -0.04     -0.04     0.06     1 
1220440886   23.74828    114.21744    -0.00     -0.10     0.10     1 
1220440888   23.74704    114.27681     0.02     -0.06     0.07     1 
1220440889   23.74640    114.30649    -0.03     -0.08     0.08     1 
1220440890   23.74576    114.33617    -0.18     -0.14     0.22     1 
1220440891   23.74512    114.36586    -0.12     -0.16     0.20     1 
1220440926   23.74181    113.17748     0.07     -0.24     0.25     1 
1220440927   23.74139    113.20719    -0.22     -0.25     0.33     1 
1220440928   23.74096    113.23690     0.18     -0.03     0.18     1 
1220440929   23.74053    113.26661     0.14     -0.20     0.24     1 
1220440930   23.74009    113.29632    -0.02     -0.02     0.03     1 
1220440931   23.73964    113.32602    -0.09     -0.11     0.14     1 
1220440933   23.73874    113.38543     0.14     -0.00     0.14     1 
1220440934   23.73828    113.41514    -0.33      0.04     0.34     1 
1220440935   23.73781    113.44484     0.21     -0.10     0.23     1 
1220440936   23.73734    113.47454     0.06      0.11     0.13     1 
1220440937   23.73686    113.50424     0.02     -0.19     0.19     1 
1220440939   23.73588    113.56365     0.06      0.04     0.07     1 
1220440944   23.73335    113.71214     0.17      0.03     0.17     1 
1220440945   23.73282    113.74183    -0.17     -0.08     0.19     1 
1220440946   23.73229    113.77153     0.09     -0.05     0.11     1 
1220440947   23.73176    113.80122    -0.18     -0.01     0.18     1 
1220440948   23.73122    113.83091    -0.26      0.00     0.26     1 
1220440949   23.73067    113.86061    -0.05      0.15     0.15     1 
1220440950   23.73012    113.89030    -0.08     -0.02     0.08     1 
1220440951   23.72956    113.91999     0.21     -0.14     0.25     1 
1220440952   23.72900    113.94967    -0.10     -0.08     0.13     1 
1220440953   23.72843    113.97936    -0.19     -0.15     0.24     1 
1220440954   23.72785    114.00905    -0.05     -0.07     0.09     1 
1220440955   23.72727    114.03874     0.08     -0.24     0.25     1 
1220440957   23.72609    114.09811    -0.10      0.02     0.10     1 
1220440958   23.72549    114.12779     0.06     -0.05     0.08     1 
1220440959   23.72489    114.15747    -0.03     -0.04     0.05     1 
1220440960   23.72428    114.18716     0.07      0.00     0.07     1 
1220440961   23.72366    114.21684     0.06     -0.19     0.20     1 
1220440962   23.72304    114.24652    -0.16      0.14     0.21     1 
1220440964   23.72179    114.30587     0.06     -0.20     0.21     1 
1220440965   23.72115    114.33555    -0.23     -0.13     0.26     1 
1220440966   23.72050    114.36522    -0.21     -0.31     0.38     1 
1220440967   23.71985    114.39490    -0.13     -0.11     0.17     1 
1220440970   23.71787    114.48391    -0.15     -0.22     0.27     1 
1220440971   23.71720    114.51358    -0.19     -0.12     0.22     1 
1220440972   23.71652    114.54325    -0.15     -0.09     0.18     1 
1220440973   23.71584    114.57292    -0.32      0.02     0.32     1 
1220440999   23.71799    113.11766    -0.00     -0.09     0.09     1 
1220441000   23.71758    113.14737     0.09     -0.33     0.35     1 
1220441001   23.71717    113.17707    -0.35      0.07     0.36     1 
1220441002   23.71674    113.20678    -0.10     -0.13     0.16     1 
1220441003   23.71632    113.23648    -0.10     -0.14     0.17     1 
1220441004   23.71589    113.26618     0.32      0.16     0.36     1 
1220441005   23.71545    113.29588    -0.06     -0.04     0.07     1 
1220441006   23.71500    113.32558     0.21      0.09     0.23     1 
1220441008   23.71410    113.38498     0.37      0.10     0.38     1 
1220441009   23.71364    113.41468     0.06      0.12     0.14     1 
1220441011   23.71270    113.47408    -0.15     -0.20     0.25     1 
1220441012   23.71222    113.50377    -0.09     -0.07     0.12     1 
1220441013   23.71174    113.53347    -0.00     -0.13     0.13     1 
1220441014   23.71125    113.56316    -0.10     -0.02     0.10     1 
1220441015   23.71075    113.59286     0.17      0.07     0.18     1 
1220441016   23.71025    113.62255    -0.23      0.22     0.32     1 
1220441017   23.70975    113.65224    -0.07      0.04     0.08     1 
1220441018   23.70923    113.68194    -0.19     -0.04     0.20     1 
1220441019   23.70872    113.71163     0.08     -0.17     0.19     1 
1220441020   23.70819    113.74132    -0.17     -0.19     0.26     1 
1220441021   23.70766    113.77101    -0.03     -0.25     0.25     1 
1220441022   23.70713    113.80069     0.07     -0.16     0.17     1 
1220441023   23.70659    113.83038    -0.25     -0.09     0.27     1 
1220441024   23.70604    113.86007    -0.25     -0.03     0.25     1 
1220441025   23.70549    113.88975    -0.39      0.06     0.39     1 
1220441026   23.70493    113.91944    -0.26      0.02     0.26     1 
1220441027   23.70437    113.94912     0.03      0.00     0.03     1 
1220441028   23.70380    113.97880    -0.07     -0.08     0.11     1 
1220441029   23.70322    114.00849    -0.18     -0.09     0.20     1 
1220441030   23.70265    114.03817    -0.25     -0.02     0.25     1 
1220441031   23.70206    114.06785    -0.28      0.04     0.29     1 
1220441032   23.70147    114.09753    -0.07     -0.02     0.07     1 
1220441033   23.70087    114.12720     0.03      0.04     0.05     1 
1220441034   23.70027    114.15688    -0.03     -0.10     0.10     1 
1220441035   23.69966    114.18656    -0.11     -0.14     0.17     1 
1220441036   23.69904    114.21623    -0.16     -0.08     0.18     1 
1220441037   23.69842    114.24590    -0.08     -0.08     0.11     1 
1220441038   23.69780    114.27558     0.10     -0.05     0.11     1 
1220441039   23.69717    114.30525    -0.14     -0.22     0.26     1 
1220441040   23.69653    114.33492    -0.22     -0.20     0.30     1 
1220441041   23.69589    114.36459    -0.06     -0.22     0.23     1 
1220441042   23.69524    114.39426    -0.16     -0.18     0.24     1 
1220441043   23.69459    114.42393    -0.26     -0.08     0.27     1 
1220441044   23.69393    114.45359    -0.15      0.04     0.15     1 
1220441046   23.69259    114.51292    -0.15     -0.10     0.18     1 
1220441047   23.69191    114.54259    -0.37     -0.14     0.39     1 
1220441048   23.69123    114.57225    -0.23     -0.11     0.25     1 
1220441076   23.69252    113.17666    -0.04     -0.11     0.12     1 
1220441077   23.69210    113.20636     0.14      0.07     0.15     1 
1220441078   23.69168    113.23606    -0.03      0.06     0.07     1 
1220441079   23.69125    113.26576    -0.15      0.04     0.15     1 
1220441080   23.69081    113.29545    -0.09     -0.02     0.10     1 
1220441081   23.69036    113.32515    -0.43     -0.24     0.49     1 
1220441082   23.68992    113.35484    -0.14     -0.26     0.30     1 
1220441084   23.68900    113.41423     0.20      0.01     0.20     1 
1220441086   23.68806    113.47361    -0.20     -0.04     0.21     1 
1220441087   23.68758    113.50330     0.10     -0.06     0.12     1 
1220441088   23.68710    113.53299     0.11      0.22     0.25     1 
1220441089   23.68661    113.56268    -0.16     -0.06     0.17     1 
1220441090   23.68612    113.59237    -0.19      0.29     0.34     1 
1220441091   23.68562    113.62206    -0.30      0.08     0.31     1 
1220441093   23.68460    113.68143     0.00     -0.03     0.03     1 
1220441094   23.68408    113.71112    -0.07      0.05     0.09     1 
1220441095   23.68356    113.74080    -0.03      0.06     0.07     1 
1220441096   23.68303    113.77048     0.17      0.08     0.18     1 
1220441097   23.68250    113.80017     0.01     -0.09     0.09     1 
1220441098   23.68196    113.82985    -0.23      0.01     0.23     1 
1220441099   23.68141    113.85953    -0.19      0.19     0.27     1 
1220441100   23.68086    113.88921    -0.24      0.14     0.28     1 
1220441101   23.68031    113.91889    -0.04     -0.01     0.04     1 
1220441102   23.67974    113.94857    -0.13     -0.18     0.22     1 
1220441103   23.67917    113.97825    -0.22     -0.12     0.25     1 
1220441105   23.67802    114.03760    -0.17     -0.04     0.18     1 
1220441106   23.67744    114.06727    -0.20     -0.14     0.24     1 
1220441107   23.67685    114.09694    -0.01      0.15     0.15     1 
1220441108   23.67625    114.12662    -0.35     -0.09     0.36     1 
1220441109   23.67565    114.15629    -0.38     -0.26     0.46     1 
1220441110   23.67504    114.18596    -0.15     -0.11     0.18     1 
1220441111   23.67442    114.21563    -0.19     -0.04     0.20     1 
1220441112   23.67381    114.24530    -0.02     -0.17     0.17     1 
1220441113   23.67318    114.27496    -0.00      0.02     0.02     1 
1220441114   23.67255    114.30463     0.03     -0.06     0.06     1 
1220441116   23.67127    114.36396    -0.42     -0.05     0.43     1 
1220441117   23.67062    114.39362    -0.17     -0.10     0.20     1 
1220441118   23.66997    114.42329    -0.36     -0.15     0.39     1 
1220441119   23.66931    114.45295    -0.23     -0.04     0.23     1 
1220441121   23.66798    114.51227    -0.01     -0.05     0.05     1 
1220441122   23.66730    114.54192    -0.17     -0.12     0.21     1 
1220441123   23.66662    114.57158    -0.35     -0.16     0.39     1 
1220441154   23.66661    113.26533    -0.35     -0.11     0.37     1 
1220441155   23.66617    113.29502    -0.31      0.01     0.31     1 
1220441156   23.66573    113.32471    -0.08     -0.13     0.15     1 
1220441157   23.66528    113.35440    -0.16     -0.12     0.20     1 
1220441158   23.66482    113.38409     0.26      0.08     0.27     1 
1220441161   23.66343    113.47315     0.14      0.05     0.15     1 
1220441162   23.66295    113.50283     0.27     -0.22     0.35     1 
1220441163   23.66247    113.53252    -0.41     -0.11     0.42     1 
1220441164   23.66198    113.56220    -0.21     -0.47     0.51     2 
1220441165   23.66148    113.59189    -0.05     -0.27     0.28     1 
1220441166   23.66099    113.62157     0.04     -0.08     0.09     1 
1220441167   23.66048    113.65125     0.19      0.17     0.26     1 
1220441168   23.65997    113.68093     0.12     -0.13     0.17     1 
1220441169   23.65945    113.71061    -0.08     -0.01     0.08     1 
1220441171   23.65840    113.76997     0.20     -0.13     0.24     1 
1220441172   23.65787    113.79964    -0.20      0.07     0.21     1 
1220441173   23.65733    113.82932    -0.07      0.03     0.07     1 
1220441174   23.65678    113.85899    -0.25      0.04     0.26     1 
1220441175   23.65623    113.88867    -0.22      0.06     0.23     1 
1220441176   23.65568    113.91834    -0.29      0.02     0.29     1 
1220441177   23.65512    113.94801     0.04     -0.03     0.05     1 
1220441178   23.65455    113.97769    -0.18     -0.13     0.22     1 
1220441179   23.65397    114.00736    -0.23     -0.18     0.29     1 
1220441180   23.65340    114.03703    -0.35     -0.12     0.37     1 
1220441181   23.65281    114.06670    -0.33     -0.07     0.34     1 
1220441182   23.65222    114.09636    -0.27     -0.17     0.32     1 
1220441183   23.65163    114.12603    -0.31      0.01     0.31     1 
1220441184   23.65102    114.15570    -0.30     -0.16     0.34     1 
1220441185   23.65042    114.18536    -0.28     -0.21     0.35     1 
1220441186   23.64980    114.21502    -0.17     -0.19     0.26     1 
1220441187   23.64918    114.24469    -0.16      0.09     0.18     1 
1220441188   23.64856    114.27435     0.25     -0.13     0.28     1 
1220441189   23.64793    114.30401    -0.06      0.06     0.08     1 
1220441190   23.64730    114.33367    -0.21     -0.09     0.23     1 
1220441192   23.64601    114.39299     0.01      0.02     0.02     1 
1220441193   23.64535    114.42264     0.20     -0.21     0.29     1 
1220441194   23.64470    114.45230    -0.34     -0.04     0.34     1 
1220441195   23.64403    114.48195     0.12     -0.15     0.20     1 
1220441196   23.64336    114.51161    -0.18     -0.16     0.24     1 
1220441197   23.64269    114.54126    -0.23     -0.06     0.23     1 
1220441198   23.64201    114.57091    -0.16     -0.09     0.18     1 
1220441227   23.64282    113.20553    -0.43      0.04     0.43     1 
1220441228   23.64240    113.23522    -0.22     -0.10     0.24     1 
1220441229   23.64197    113.26491    -0.02      0.03     0.04     1 
1220441230   23.64153    113.29459    -0.24     -0.04     0.24     1 
1220441231   23.64109    113.32428    -0.13     -0.04     0.13     1 
1220441232   23.64064    113.35396    -0.21     -0.15     0.26     1 
1220441233   23.64018    113.38364     0.19     -0.07     0.20     1 
1220441236   23.63879    113.47269     0.04      0.06     0.08     1 
1220441237   23.63831    113.50236     0.31      0.11     0.33     1 
1220441238   23.63783    113.53204     0.15      0.07     0.17     1 
1220441240   23.63685    113.59140     0.03      0.06     0.07     1 
1220441241   23.63635    113.62108    -0.00     -0.01     0.01     1 
1220441243   23.63534    113.68043     0.10      0.05     0.11     1 
1220441245   23.63430    113.73977     0.03      0.25     0.25     1 
1220441246   23.63377    113.76945    -0.22     -0.03     0.22     1 
1220441247   23.63324    113.79912    -0.10     -0.13     0.16     1 
1220441248   23.63270    113.82879    -0.17     -0.05     0.18     1 
1220441249   23.63216    113.85846    -0.32     -0.04     0.32     1 
1220441250   23.63161    113.88813    -0.37      0.09     0.38     1 
1220441251   23.63105    113.91780    -0.17     -0.01     0.17     1 
1220441252   23.63049    113.94746    -0.21     -0.02     0.21     1 
1220441254   23.62935    114.00679    -0.14     -0.14     0.20     1 
1220441256   23.62819    114.06612    -0.27     -0.12     0.29     1 
1220441258   23.62700    114.12544    -0.25      0.02     0.25     1 
1220441259   23.62640    114.15511    -0.40      0.03     0.41     1 
1220441265   23.62268    114.33305     0.03     -0.15     0.15     1 
1220441268   23.62074    114.42200    -0.23     -0.11     0.26     1 
1220441269   23.62008    114.45165    -0.23     -0.11     0.26     1 
1220441270   23.61942    114.48130    -0.18     -0.03     0.18     1 
1220441271   23.61875    114.51095    -0.10     -0.04     0.11     1 
1220441272   23.61808    114.54060    -0.26     -0.07     0.27     1 
1220441294   23.62138    112.96765     0.45      0.08     0.45     1 
1220441301   23.61860    113.17544    -0.07     -0.04     0.08     1 
1220441302   23.61818    113.20512     0.35      0.03     0.35     1 
1220441304   23.61733    113.26448    -0.36     -0.16     0.40     1 
1220441306   23.61645    113.32384    -0.31      0.04     0.32     1 
1220441308   23.61555    113.38320     0.09     -0.04     0.10     1 
1220441309   23.61509    113.41287     0.24      0.08     0.26     1 
1220441310   23.61462    113.44255     0.31     -0.03     0.32     1 
1220441311   23.61415    113.47222     0.26      0.10     0.28     1 
1220441313   23.61320    113.53157     0.23     -0.05     0.23     1 
1220441314   23.61271    113.56124     0.08     -0.01     0.08     1 
