Tue. May. 21, 2013             LANDSAT 5                 Time: 03:28
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L7295487            Path/Row: 122 / 044

L0R Reference Image: L51BKT1009306020100_HDF.131410820
Acquisition Date: Nov 02, 2009

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
122   044   2000-09-14


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1220440207   22.582137  112.791819    44.081       5.628    -2.037     5.857    -1.237
1220440210   22.370819  113.452298    -2.488      -0.759     1.933    -1.021     1.809
1220440211   23.043477  113.610920    -2.073      -1.478     2.311    -1.784     2.086
1220440212   22.887286  113.114780    -2.568      -1.350     3.568    -1.831     3.348
1220440213   22.738059  112.572444    27.842      -4.778     5.680    -5.519     4.964
1220440214   23.770097  113.508412    40.609       1.059    -1.855     1.305    -1.692
1220440217   22.573307  113.075245     3.497       1.321    -1.962     1.582    -1.760
1220440219   23.104746  113.623229    -5.257      -0.605    -0.997    -0.461    -1.072
1220440220   23.504085  113.339778   193.473       6.806     3.407     6.273     4.312
1220440221   23.477670  112.776387    37.961       0.890    -3.625     1.383    -3.468
1220440223   23.044137  113.325901    -2.991       4.390     4.847     3.679     5.410
1220440224   23.451129  113.762394    28.585      -1.287     1.303    -1.455     1.114
1220440226   23.040174  113.044281    -3.755      -0.308    -6.372     0.578    -6.355
1220440227   23.789263  114.327285   315.033      -0.342     4.823    -1.003     4.733
1220440228   22.564895  113.314277    -3.983      -1.043    -1.701    -0.797    -1.830
1220440229   22.907281  112.763896    -5.903      -5.108     1.560    -5.274     0.839
1220440230   23.350243  113.190695    -1.513       3.782     1.018     3.607     1.530
1220440232   23.887301  113.544536    79.085      -1.322    -2.379    -0.983    -2.539
1220440235   22.599210  113.103932    -2.623       2.001     3.511     1.495     3.756
1220440237   23.020640  113.616332    -2.667      -5.833     3.401    -6.251     2.562
1220440238   23.342569  113.417596    61.177       5.309    -4.752     5.917    -3.976
1220440240   23.316443  113.244102    -0.263      -2.761     0.583    -2.815     0.197
1220440242   23.321622  113.297859    -2.147      -4.513     2.416    -4.805     1.771
1220440245   22.895221  113.067538    -2.747      -1.367    -2.789    -0.967    -2.952
